,Season,Sentence,labels
3598,Season 2,I asked you a question.,neutral
3599,Season 2,"Aye, you did. You asked without manners. And I chose not to answer.",disgust
3600,Season 2,I have a royal warrant. For one of these gutter rats you're transporting.,neutral
3601,Season 2,"Well the thing is, , these gutter rats belong to the Night's Watch now. That puts them beyond the reach of kings and queens.",neutral
3602,Season 2,"It's a funny thing. People worry so much about their throats, they forget about what's down low. Now I sharpened this blade before breakfast. I could shave a spider's arse if I wanted to. Or, I could nick this artery in your leg and once it's nicked, there's no one around here who knows how to un-nick it.",neutral
3603,Season 2,We'll just keep that. Good steel is always needed on the wall. Seems you have a choice. You can die here at this crossroads a long way from home. Or you can go back to your city and tell your masters you didn't find what you were looking for.,neutral
3604,Season 2,We're looking for a boy named Gendry. . He carries a bull's head helmet. Anyone turning him over will earn the King's reward. We'll be back. With more men. And I'll be taking your head home along with that bastard boy.,anger
3605,Season 2,My lord.,disgust
3606,Season 2,"You make me wait a long time, but your friend keeps me company.",neutral
3607,Season 2,We were just speaking of your bravery in the victory against the Stark auxiliary forces.,neutral
3608,Season 2,It was quite a battle.,fear
3609,Season 2,I heard you suffered a terrible head wound. The northerners are such fearsome warriors.,fear
3610,Season 2,And I tell him the story of how we meet.,neutral
3611,Season 2,To find so lovely creature working in your father's kitchen. It almost beggars belief.,disgust
3612,Season 2,Strange things do happen. You should taste her fish pie.,surprise
3613,Season 2,I don't think Lord Varys likes fish pie.,neutral
3614,Season 2,How can you tell?,surprise
3615,Season 2,I can always tell.,neutral
3616,Season 2,Men like Lord Varys and I can't let our disadvantages get the best of us. We'll make a fisherman of him yet. .,neutral
3617,Season 2,"I am glad your new friend was able to accompany you to the capital. Friends are such an important part of life. Unfortunate that your father didn't want her to come. But rest easy my lord, I am very good at keeping secrets for my good friends.",joy
3618,Season 2,"Your discretion is legendary, where your friends are concerned.",neutral
3619,Season 2,"How unspeakable of me to go on and on, when all you want to do is rest. I will leave you. . Welcome to Kings Landing, my dear. The city is made brighter by your presence. We have a council meeting, my lord.",fear
3620,Season 2,I don't like threats.,fear
3621,Season 2,Who threatened you?,fear
3622,Season 2,I'm not Ned Stark. I understand the way this game is played.,neutral
3623,Season 2,Ned Stark was a man of honor.,neutral
3624,Season 2,And I am not. Threaten me again and I will have you thrown into the sea.,fear
3625,Season 2,"You might be disappointed in the results. The storms come and go. The big fish eat the little fish. And I keep on paddling. Come, my lord. We shouldn't keep the queen waiting.",neutral
3626,Season 2,"From this time until the end of time, we are not part of your realm, but a free and independent Kingdom of the North.” . He has more spirit than his father, I'll give him that.",neutral
3627,Season 2,"You've perfected the art of tearing up papers. Give him his father's bones back, at least, as a gesture of good faith.",neutral
3628,Season 2,"You'll give the Starks our reply, cousin?",neutral
3629,Season 2,"I will, Your Grace.",neutral
3630,Season 2,Did you see my brother when you were the Starks guest?,surprise
3631,Season 2,"I did. They have not broken his spirit, Your Grace.",neutral
3632,Season 2,"If you speak with him, tell him he's not been forgotten.",neutral
3633,Season 2,"Safe travels, cousin.",neutral
3634,Season 2,You have a deft hand with diplomacy.,neutral
3635,Season 2,If that's everything?,surprise
3636,Season 2,A raven flew in this morning from Castle Black.,neutral
3637,Season 2,Trouble with the wildlings?,fear
3638,Season 2,That's why they're called wildlings.,neutral
3639,Season 2,Somewhat less wild these days. It seems they've stopped killing each other and started following this King-Beyond-the-Wall.,neutral
3640,Season 2,"Another king? How many is that now, Five? I've lost count.",surprise
3641,Season 2,Lord Commander asks that we send more men to man The Wall.,neutral
3642,Season 2,Perhaps he's forgotten we're fighting a war. We have no men to spare.,neutral
3643,Season 2,"Cold winds are rising, and the dead rise with them.",sadness
3644,Season 2,The northerners are a superstitious people.,neutral
3645,Season 2,"According to the Commander, one of these dead men attacked him in his chambers. . Mormont doesn't lie.",disgust
3646,Season 2,How do you kill a dead man?,anger
3647,Season 2,Apparently you burn him.,anger
3648,Season 2,One trip to The Wall and you come back believing in grumpkins and snarks. .,neutral
3649,Season 2,"I don't know what I believe, but here's a fact for you. The Night's Watch is the only thing that separates us from what lies beyond the Wall.",neutral
3650,Season 2,I have every confidence the brave men of the Night's Watch will protect us all.,joy
3651,Season 2,"Then I said, if the gods wanted us to have dignity, wouldn't make us fart when we died.",disgust
3652,Season 2,We fart when we die?,disgust
3653,Season 2,"My blessed mother was holding her own when she left this world. She farted so hard, the whole bed shook.",fear
3654,Season 2,"Seems a bit greedy for one man to have so many wives. Wouldn't two, or three, be enough for him?",anger
3655,Season 2,We were having a serious discussion.,disgust
3656,Season 2,Would you look at that.,neutral
3657,Season 2,Nothing like the sight of a woman walking away.,disgust
3658,Season 2,I prefer watching them come towards me.,neutral
3659,Season 2,I'm sure that's nice too.,joy
3660,Season 2,"Well, there was a milkmaid named Violet on the next farm over from where I grew up. And we were wrestling together from the time we were six years old. And then we got older, the wrestling, uh, , changed.",neutral
3661,Season 2,You were with her? How many times?,surprise
3662,Season 2,"Well, as many times as I could.",neutral
3663,Season 2,Wish I'd grew up on a farm.,sadness
3664,Season 2,We need more potatoes. And get another sack for the sludge. . Get the turnips too.,neutral
3665,Season 2,"No. Ghost, no. No. Ghost, away. Shoo. Shoo! . You all right? Did he frighten you?",fear
3666,Season 2,You shouldn't touch me.,fear
3667,Season 2,"Oh, oh. Right. I'm sorry. I just wanted to make sure you weren't hurt. .",sadness
3668,Season 2,You're very brave.,neutral
3669,Season 2,What're you doing?,surprise
3670,Season 2,"This is Gilly, she's one of Craster's daughters.",neutral
3671,Season 2,"Hello, Gilly. What're you doing?",surprise
3672,Season 2,Sam said you could help.,neutral
3673,Season 2,"I'm sorry, Sam knows we're not supposed to -",sadness
3674,Season 2,"She's pregnant. . We have to take her with us, when we leave.",sadness
3675,Season 2,What? .,surprise
3676,Season 2,I know it sounds a bit mad.,anger
3677,Season 2,"No it doesn't sound a bit mad, it's impossible.",anger
3678,Season 2,"The Lord Commander, , we are sworn to protect -",neutral
3679,Season 2,Sam we can't take her -,sadness
3680,Season 2,"Please sir, please. I can still run if I have to.",neutral
3681,Season 2,It's just not possible.,neutral
3682,Season 2,"I'm going to have a baby, if it's a boy I…",joy
3683,Season 2,"If it's a boy what? . You want us to risk our lives for you, and you won't even tell us why.",anger
3684,Season 2,Why did you do that?,surprise
3685,Season 2,"Do what, ask her a question?",anger
3686,Season 2,You were cruel.,disgust
3687,Season 2,Cruel! Sam are you in such a hurry to lose a hand?,surprise
3688,Season 2,I didn't touch her!,anger
3689,Season 2,No you just want to steal her. What do you think Craster cuts off for that?,neutral
3690,Season 2,"I can't steal her, she's a person not a goat.",anger
3691,Season 2,"We're heading deeper and deeper into wildling territory. We can't take a girl with us. Mormont wouldn't have it. And even if he would, what would we do with her? Who's gonna deliver her baby? You?",anger
3692,Season 2,I could try. . What? I've read about it. A bit.,surprise
3693,Season 2,"I'm sorry Sam, we can't help her.",sadness
3694,Season 2,Khaleesi.,neutral
3695,Season 2,You don't need to see this.,neutral
3696,Season 2,He is blood of my blood.,disgust
3697,Season 2,Who did this?,surprise
3698,Season 2,"Khal Pono perhaps, Khal Jhaqo They don't like the idea of a woman leading a Khalasaar.",disgust
3699,Season 2,They will like it far less when I'm done with them.,neutral
3700,Season 2,No! They killed his soul!,anger
3701,Season 2,Shh. They cannot kill his soul.,disgust
3702,Season 2,They did! They butchered him like an animal. They did not burn his body. . He can never join his ancestors in the night lands.,anger
3703,Season 2,Shh. We will build him a funeral pyre.,disgust
3704,Season 2,"And I promise you, Rakharo will ride with his ancestors tonight.",neutral
3705,Season 2,Is it as you remember my lord?,surprise
3706,Season 2,Looks smaller.,neutral
3707,Season 2,"Everything looks bigger when you're a child. I remember my father's cabin, felt like a palace when I was little. Now look at it.",neutral
3708,Season 2,They'll be waiting for me on the docks.,neutral
3709,Season 2,Who will?,neutral
3710,Season 2,"Anyone who matters, , this is a big day for them. They haven't had much to get excited about since I left. It's a hard place the Iron Islands always has been. It's cold and it's wet.",neutral
3711,Season 2,I love the cold and wet.,joy
3712,Season 2,"They say hard places breed hard men, , and hard men rule the world.",neutral
3713,Season 2,Then you'll be king before long.,neutral
3714,Season 2,"Try smiling with your lips closed. . Hmm, better.",neutral
3715,Season 2,My father doesn't trust you Iron islanders.,anger
3716,Season 2,I don't blame him.,anger
3717,Season 2,"He says that you're all reavers and rapers. And that no matter how many women you have, you'll never be satis-",neutral
3718,Season 2,"Quit talking about your father. He's right about us. Our wives from the Iron Islands, they're for breeding. That's not enough for us. That's why we take saltwives, from the women we capture.",neutral
3719,Season 2,Capture me! Take me with you when you go ashore. Make me your saltwife.,fear
3720,Season 2,Your place is on this ship.,anger
3721,Season 2,Not after you leave. Father will punish me. He'll call me a whore.,anger
3722,Season 2,I haven't paid you.,anger
3723,Season 2,"I barely touched her. And you charge twice as much as every other brothel. And this is what I get, crying.",disgust
3724,Season 2,"One moment, my friend. A moment.",disgust
3725,Season 2,Please accept my sincerest apologies. Ramka will take good care of you.,sadness
3726,Season 2,"I'm sorry, my lord.",sadness
3727,Season 2,Shhh. Did he hurt you?,disgust
3728,Season 2,"No, my lord… It's Mhaegen.",surprise
3729,Season 2,Who?,surprise
3730,Season 2,"She works for you. She's the one, the girl whose, they killed her baby.",disgust
3731,Season 2,"Ah, yes, that was poorly handled. Sometimes those with the most power have the least grace.",neutral
3732,Season 2,"Can't stop thinking about it, I can't sleep. Her poor little baby.",sadness
3733,Season 2,"You know, you remind me of another girl. A lovely thing I once acquired from an Elysium pleasure house. Beautiful, like yourself, and intelligent as yourself. But she wasn't happy. She cried, often. I asked her why but, we didn't have the kind of rapport that you and I have. Yes, it was quite sad. Girls from Elysium pleasure houses are expensive. Extremely expensive. And this one wasn't making me any money. I hate bad investments. Really, I do. They haunt me. I had no idea how to make her happy, no idea how to mitigate my losses. A very wealthy patron, he offered me a tremendous amount of money to let him transform this lovely, sad girl. To use her in ways that never occur to most men. And you know what occurs to most men. I would not say he succeeded in making her happy but my losses were definitely mitigated. . Take tonight off to mourn Mhaegen's child. I'll see you tomorrow. But you'll be happy? . That makes me happy.",sadness
3734,Season 2,More wine?,surprise
3735,Season 2,"Damn it, boy!",anger
3736,Season 2,"Apologies, my lord.",disgust
3737,Season 2,"Leave us, Podrick. I believe we know how to pour our own wine.",neutral
3738,Season 2,Is that your new squire? Could have found you a proper lad.,surprise
3739,Season 2,"Myself, I prefer the improper ones.",neutral
3740,Season 2,"Hmm, that's a good red. Dornish?",neutral
3741,Season 2,"You know your wines, my lord.",neutral
3742,Season 2,"That I do. A fine dinner, my lord.",joy
3743,Season 2,"Call me Tyrion, please. I'm sure you're getting used to fine dinners, now that you're a lord.",neutral
3744,Season 2,Maybe I'll hire this cook of yours.,neutral
3745,Season 2,Wars have been started for less.,neutral
3746,Season 2,I heard there was some trouble in Littlefinger's brothel the other night.,fear
3747,Season 2,"Hmm. Nasty business, had to be done.",disgust
3748,Season 2,"Yes, of course. City Watch must keep the peace. Only, I hadn't realized peace depended on killing babies.",neutral
3749,Season 2,Orders are orders.,neutral
3750,Season 2,Quite right. Especially the queen's orders.,neutral
3751,Season 2,I never said they were the queen's orders.,neutral
3752,Season 2,"No, but who else would want to murder King Robert's bastards? She's always been a jealous woman.",disgust
3753,Season 2,You know your sister better than I do.,neutral
3754,Season 2,You've heard the awful rumors about my brother and sister.,disgust
3755,Season 2,I don't listen to filth.,disgust
3756,Season 2,"That's good of you, but you have heard them. I suppose people who do believe that filth, consider Robert's bastards to be better claimants to the throne than Cersei's children.",disgust
3757,Season 2,"Joffrey is my king, the rest doesn't interest me. .",neutral
3758,Season 2,I appreciate your loyalty. Tell me.,joy
3759,Season 2,I did. And I would again. The man was a traitor. He tried to buy my loyalty.,anger
3760,Season 2,The fool! He had no idea you were already bought.,anger
3761,Season 2,Are you drunk? I'll not have my honor questioned by an Imp.,anger
3762,Season 2,"I'm not questioning your honor, Lord Janos. I'm denying its existence.",anger
3763,Season 2,"You think I'll stand here and take this from you, dwarf.",neutral
3764,Season 2,"Dwarf? You should have stopped at imp. And yes, you will stand here and take it from me, unless you'd like to take it from my friend here.",anger
3765,Season 2,"I intend to serve as Hand of the King until my father returns from the war, and seeing as you betrayed the last Hand of the King, well, I just wouldn't feel safe with you lurking about.",joy
3766,Season 2,What are you ta- My friends at court will not allow this. The queen herself -,sadness
3767,Season 2,The queen regent. And you're a fool to believe she's your friend.,anger
3768,Season 2,We shall hear what Joffrey has to say about this.,neutral
3769,Season 2,"No, we shan't.",fear
3770,Season 2,"There's a ship leaving for East Watch by the sea tonight. From there, I'm afraid it's rather a long walk to Castle Black. I hope you enjoy the Wall. I found it surprisingly beautiful, in a brutal, horribly uncomfortable sort of way.",disgust
3771,Season 2,"The lads will escort you. The streets aren't safe at night, my lord.",fear
3772,Season 2,These men are under my command. . I command you to arrest this cutthroat.,anger
3773,Season 2,His name is Bronn... and he is the new commander of the City Watch.,neutral
3774,Season 2,Boys?,surprise
3775,Season 2,I have friends at court! Powerful friends! The king himself made me a lord!,anger
3776,Season 2,To the new Commander.,neutral
3777,Season 2,"If I told you to murder, an infant girl say, still at her mother's breast, would you do it without question?",anger
3778,Season 2,Without question? No. I'd ask how much.,neutral
3779,Season 2,"If they come back, I say we yield. Gendry's the one they want. I don't want to get caught in the middle of a battle.",neutral
3780,Season 2,I'm not afraid of no battles.,fear
3781,Season 2,"If you got within a mile of a battle, you'd fill your pants.",neutral
3782,Season 2,I've seen lots of battles. I saw -,neutral
3783,Season 2,Liar.,neutral
3784,Season 2,I saw a man kill another man just outside a tavern in Flea Bottom. Stabbed him right in the neck.,disgust
3785,Season 2,Two men fighting isn't a battle.,neutral
3786,Season 2,They had armor on.,neutral
3787,Season 2,So?,surprise
3788,Season 2,"So, if they got armor on, it's a battle.",neutral
3789,Season 2,"No, it isn't.",neutral
3790,Season 2,What's a dyer's apprentice know about battles anyway?,neutral
3791,Season 2,"Gendry's an armorer's apprentice. Hot Pie, tell Gendry what makes it a battle.",neutral
3792,Season 2,It's when they've got armor on.,neutral
3793,Season 2,Now who told you that.,surprise
3794,Season 2,A knight?,surprise
3795,Season 2,How'd you know he was a knight?,surprise
3796,Season 2,"Well, cause he got armor on.",neutral
3797,Season 2,You don't have to be a knight to have armor. Any idiot can buy armor. .,anger
3798,Season 2,How'd you know?,surprise
3799,Season 2,Cause I sold armor.,neutral
3800,Season 2,What do the gold cloaks want with you?,neutral
3801,Season 2,No idea.,disgust
3802,Season 2,You're a liar.,anger
3803,Season 2,You shouldn't insult people that are bigger than you.,anger
3804,Season 2,Then I wouldn't get to insult anyone. .,anger
3805,Season 2,"Well, I don't care what any of them want. No goodo s ever come of their questions.",disgust
3806,Season 2,No goodo s ever come? Who asked questions before?,neutral
3807,Season 2,How can someone so small be such a huge pain in my ass?,disgust
3808,Season 2,Who asked questions?,neutral
3809,Season 2,"The Hand of the King. Er, hands of the King. Lord Arryn came first, a few weeks before he died. And then Lord Stark came, a few weeks before he died.",neutral
3810,Season 2,Lord Stark.,neutral
3811,Season 2,See? Asking me questions is bad luck. . You'll probably be dead soon.,disgust
3812,Season 2,What did they ask about?,neutral
3813,Season 2,My mom.,sadness
3814,Season 2,Who's your mom?,surprise
3815,Season 2,Just my mom. Worked in a tavern. Died when I was little.,sadness
3816,Season 2,And who was your father?,surprise
3817,Season 2,"He could be one of those gold-hatted bastards, for all I know. What about you, anyway? You thought they were after you, why? Did you kill someone, or is it just because you're a girl?",anger
3818,Season 2,I'm not a girl!,anger
3819,Season 2,Yes you are. You think I'm as stupid as the rest of them?,anger
3820,Season 2,"Stupider. Night's Watch doesn't take girls, everyone knows that.",neutral
3821,Season 2,That's true. You're still a girl.,neutral
3822,Season 2,I am not!,anger
3823,Season 2,"Well, pull your cock out and take a piss then.",disgust
3824,Season 2,I don't need to take a piss… Lommy and Hot Pie can't know. No one can know.,neutral
3825,Season 2,They won't. Not from me.,neutral
3826,Season 2,My name's not Arry. It's Arya. Of House Stark. Yoren is taking me home to Winterfell.,neutral
3827,Season 2,He was your father. The Hand. The traitor.,anger
3828,Season 2,He was never a traitor! Joffrey is a liar.,anger
3829,Season 2,"So you're a highborn, then. You're a lady.",neutral
3830,Season 2,"No. I mean yes. My mother was a lady, and my sister -",disgust
3831,Season 2,"You were a lordo s daughter and you lived in a castle. Look, all that about cocks. I should never have said that. I've been pissing in front of you and everything. I should be calling you milady.",disgust
3832,Season 2,Do not call me milady.,fear
3833,Season 2,"As milady commands. . Well, that was unladylike.",disgust
3834,Season 2,What you carrying?,surprise
3835,Season 2,Pears and oranges. Wine from the Arbor. And the heir to Pyke of the Iron Islands. . The only living son of Balon Greyjoy. . Me.,neutral
3836,Season 2,Don't like wine. Woman's drink. .,disgust
3837,Season 2,I need to get to Pyke.,neutral
3838,Season 2,I'll find you a horse.,neutral
3839,Season 2,I'm heading that way. I can take you there.,neutral
3840,Season 2,I bet you can.,neutral
3841,Season 2,You been at sea long? Or were there just no women where you came from?,neutral
3842,Season 2,None like you.,disgust
3843,Season 2,You don't know what I'm like.,surprise
3844,Season 2,You don't know what you're like. You need someone to teach you. Know who I am?,neutral
3845,Season 2,You think I offer free rides to every man in jewelry. Lord Greyjoy.,neutral
3846,Season 2,Have my things sent up to the castle.,neutral
3847,Season 2,"You should give me the reins, I'm a better rider than you. I've been on horseback for the last nine years.",neutral
3848,Season 2,Nine years. Do you still know your way around a ship? Have these hands ever touched a rope?,neutral
3849,Season 2,Don't you worry about my hands. . The sea's in my blood.,fear
3850,Season 2,Your blood will be in the sea if I don't watch where I'm going.,neutral
3851,Season 2,"I have a proposal for my father. One that will make him king again. And me after him. You may stay at the castle tonight, if you're lucky.",neutral
3852,Season 2,Is that an offer from my future king?,surprise
3853,Season 2,"An order, from your future king. You can tell your grandchildren about this night.",neutral
3854,Season 2,I don't imagine it will be a story fit for children.,surprise
3855,Season 2,Father.,sadness
3856,Season 2,"Nine years, is it? They took a frightened boy. What have they given back?",fear
3857,Season 2,A man. Your blood and your heir.,disgust
3858,Season 2,We shall see. Stark had you longer than I did.,neutral
3859,Season 2,Lord Stark is gone.,sadness
3860,Season 2,And how do you feel about that?,neutral
3861,Season 2,What's done is done. I've brought you a proposal from Robb Stark.,neutral
3862,Season 2,Who gave you those clothes? . Was it Ned Stark's pleasure to make you his daughter?,neutral
3863,Season 2,"If my clothes offend you, I will change them.",anger
3864,Season 2,It will. . That bauble around your neck. Did you pay the iron price for it or the gold? . I asked a question. Did you pull it from the neck of a corpse you made or did you buy it to match your fine clothes? Iron or gold?,neutral
3865,Season 2,Gold.,neutral
3866,Season 2,I'll not have my son dressed as a whore. . My fears have come true. The Starks have made you theirs.,fear
3867,Season 2,My blood is salt and iron.,disgust
3868,Season 2,"Yet, , the Stark boy sends you to me like a trained raven, clutching his message.",neutral
3869,Season 2,"The offer he makes, is one I proposed.",neutral
3870,Season 2,He heeds your counsel?,neutral
3871,Season 2,"I've lived with him, hunted with him, fought at his side, he thinks of me as a brother.",anger
3872,Season 2,"No, not here, , not in my hearing, you will not name him brother. This son of the man who put your true brothers to the sword. Or have you forgotten your own blood?",disgust
3873,Season 2,I forget nothing. I remember my brothers. And I remember when my father was a king.,neutral
3874,Season 2,I see. I destroy Robb Stark's enemies for him and he will make me King of the Iron Islands once again.,anger
3875,Season 2,I will lead the attack myself.,fear
3876,Season 2,"Oh, you will?",surprise
3877,Season 2,I'm your son. Your only living heir. Who else?,neutral
3878,Season 2,I told you to wait outside. . How did you get past the guards?,surprise
3879,Season 2,Anything with a cock is easy to fool.,disgust
3880,Season 2,My dear.,sadness
3881,Season 2,Yara?,surprise
3882,Season 2,"So good to see you, brother. This is a homecoming I'll tell my grandchildren about.",joy
3883,Season 2,She can't lead an attack!,anger
3884,Season 2,And why not?,neutral
3885,Season 2,You're a woman!,surprise
3886,Season 2,You're the one in skirts.,neutral
3887,Season 2,"This isn't Winterfell, boy. Your sister took over command of your eldest brother's ship after your new father killed him.",anger
3888,Season 2,What's dead may never die.,neutral
3889,Season 2,No man gives me a crown. I pay the iron price. I will take my crown. . That is who I am. That is who we have always been.,anger
3890,Season 2,You won't stand a chance against the Lannisters on your own.,neutral
3891,Season 2,Who said anything about the Lannisters?,neutral
3892,Season 2,You'll have your gold when we take the treasury at King's Landing.,neutral
3893,Season 2,"All these kings fighting for the throne, and this Stannis has the smallest army. Why would I bet on the man with the worst chance?",disgust
3894,Season 2,"Because you're a smart gambler. Stannis has proved himself in war. Twice. His baby brother has never set foot on a battlefield. Neither has the false king, Joffrey.",neutral
3895,Season 2,"And yet, they both have larger armies.",surprise
3896,Season 2,Stannis has just begun the fight. His bannermen will rally to his cause. There's no man in the Seven Kingdoms more honorable than Stannis Baratheon. Or more worthy of loyalty.,neutral
3897,Season 2,What is the world coming to when smugglers must vouch for the honor of kings.,disgust
3898,Season 2,"Mind your words, pirate. .",anger
3899,Season 2,Matthos.,neutral
3900,Season 2,You think I'm insulted? I am a pirate. I'm an excellent pirate. I don't sail for promises.,anger
3901,Season 2,"Of course you do. Every time you leave harbor, you're leaving on a promise. A promise that somewhere on the seas, somebody's got some gold and you can take it from them.",neutral
3902,Season 2,That's a promise that always comes true.,neutral
3903,Season 2,"As is mine. You're not the young man, Salladhor. And correct me if I'm wrong",neutral
3904,Season 2,Only the clever ones.,neutral
3905,Season 2,"You want to spend your last few years on the sea, stealing from Pentoshi cheesemongers and Midanese silk merchants, then go. They're out there waiting for you. That's easy. What I'm offering you is hard. Come with me and plunder the greatest city in Westeros. You'll be the richest man in Lysene. And the most famous. They'll be singing songs about you as long as men have voices to sing.",neutral
3906,Season 2,Salladhor Saan is a good name for songs.,neutral
3907,Season 2,It is. .,neutral
3908,Season 2,"One thing, I want the queen.",neutral
3909,Season 2,The queen?,surprise
3910,Season 2,"Cersei, I want her. I'll sail with your fleet, all 30 of my ships, and if we don't drown at the bottom of Blackwater Bay, I will fuck this blonde queen and I will fuck her well.",anger
3911,Season 2,This war isn't about you. We're not attacking King's Landing so that you can rape the queen.,anger
3912,Season 2,"I'm not going to rape her, I'm going to fuck her.",anger
3913,Season 2,As if she would just let you!,anger
3914,Season 2,You don't know how persuasive I am. I never tried to fuck you.,surprise
3915,Season 2,"Stannis is the rightful king, and the Lord of Light. The one true god.",neutral
3916,Season 2,"I've been all over the world, my boy, and everywhere I go, people tell me about the true god. They all think they found the right one. The one true god is what's between a woman's legs, and better yet a queen's legs.",neutral
3917,Season 2,I never thought you'd have a true believer for a son.,surprise
3918,Season 2,He's young yet. I promise you the gold. I promise you the glory. I cannot promise you the queen.,neutral
3919,Season 2,You believe your king can win?,surprise
3920,Season 2,He is the one true king.,neutral
3921,Season 2,"You Westerosee are funny people. A man chops off your fingers and you fall in love with him. . I'll sail with you, Davos Seaworth. You are the most honest smuggler I ever met. Make me rich.",joy
3922,Season 2,Get me to the gates of King's Landing and I will.,neutral
3923,Season 2,When will the King have a sail?,neutral
3924,Season 2,As soon as his God wills it.,neutral
3925,Season 2,"He's my God too, and yours. But you were too blind to see. . Let me teach you how to read.",surprise
3926,Season 2,Oh you and your mother.,sadness
3927,Season 2,It won't take long. You already know the letters. The holy books are much more persuasive than I can be.,neutral
3928,Season 2,"I wish I had a God, truly! I'm not mocking you, but I've seen men pray to every God there is. Pray for wind, pray for rain, pray for home. None of it works!",anger
3929,Season 2,But you always came home.,neutral
3930,Season 2,I wasn't praying.,neutral
3931,Season 2,"But I was. Every night that you were at sea, I lit a candle and I prayed, for you.",fear
3932,Season 2,"You want me to have a god, fine. King Stannis is my god. He raised me up and blessed me with his trust. He gave you a future I could never have imagined. You know how to read, you'll be a knight someday. You think your fire god commanded all that? It was Stannis. Only Stannis.",neutral
3933,Season 2,"Stannis is my king, but he's only a man.",neutral
3934,Season 2,Don't tell him that.,neutral
3935,Season 2,Lord Janos Slynt was Commander of the City Watch. You had no right to exile him.,neutral
3936,Season 2,I have every right. I am the King's Hand.,anger
3937,Season 2,You're serving as the King's Hand until father gets here. I am Queen Regent.,neutral
3938,Season 2,"Listen to me, Queen Regent, you're losing the people. Do you hear me?",anger
3939,Season 2,"Ha, the people. You think I care?",joy
3940,Season 2,"You might find it difficult to rule over millions who want you dead. Half the city will starve when winter comes. The other half will plot to overthrow you. And your gold-plated thugs just gave them the rallying cry, “The Queen slaughters babies.” . You don't even have the decency to deny it.",anger
3941,Season 2,"It wasn't you who gave the order, was it? Joffrey didn't even tell you. Or did he tell you? I imagine that would be even worse.",disgust
3942,Season 2,"He did what needed to be done. . You want to be the Hand of the King? You want to rule? This is what ruling is! Lying on a bed of weeds, ripping them out by the root one by one before they strangle you in your sleep.",anger
3943,Season 2,"I'm no king, but I think there's more to ruling that that.",neutral
3944,Season 2,"I don't care what you think! You've never taken it seriously. You haven't, Jaime hasn't. . It's all fallen on me.",anger
3945,Season 2,"As has Jaime repeatedly, according to Stannis Baratheon.",neutral
3946,Season 2,"You're funny. . You've always been funny. But none of your jokes will ever match the first one, will they? You remember... back when you ripped my mother open on your way out of her and she bled to death.",surprise
3947,Season 2,She was my mother too.,neutral
3948,Season 2,"Now they're gone, for the sake of you. There's no bigger joke in the world than that. .",anger
3949,Season 2,Your Grace.,neutral
3950,Season 2,Your Grace.,neutral
3951,Season 2,How did it fare with your pirate?,neutral
3952,Season 2,Salladhor Saan will join our fleet. 30 ships. His men know how to fight.,neutral
3953,Season 2,"In my experience, pirates prefer fighting unarmed men.",neutral
3954,Season 2,Does seem the wiser choice.,neutral
3955,Season 2,It won't be a choice this time. Do you trust him?,neutral
3956,Season 2,"Salladhor Saan is an old friend, I've known him 30 years. I've never trusted him.",disgust
3957,Season 2,"Well if he does his job, he'll have his share. Leave us.",neutral
3958,Season 2,"At once, Your Grace.",neutral
3959,Season 2,"The Lord of Light shines through you, young warrior.",neutral
3960,Season 2,Come.,neutral
3961,Season 2,What did you say to him?,surprise
3962,Season 2,I told him death by fire is the purest death.,disgust
3963,Season 2,Why?,surprise
3964,Season 2,Because it is true. You're troubled my king.,sadness
3965,Season 2,Yeah.,neutral
3966,Season 2,These armies are but toys for the Lord of Light.,neutral
3967,Season 2,Tell your lord to burn them then.,anger
3968,Season 2,I tell him nothing! I pray for his commands and I obey.,anger
3969,Season 2,My little brother has a hundred thousand men according to the scouts. Men whose allegiance rightly belongs to me.,neutral
3970,Season 2,You must have faith.,neutral
3971,Season 2,"Faith? In a real war, the side with the greater number wins nine times out of ten.",neutral
3972,Season 2,Then we must be the ten.,neutral
3973,Season 2,"I cannot defeat my brother in the field, and I can't take King's Landing without the men he stole.",anger
3974,Season 2,"I have seen the path to victory in the flames. At first, you must give yourself to the Lord of Light.",neutral
3975,Season 2,"I've said the words, damn you! I burnt the idols.",anger
3976,Season 2,You must give... all of yourself.,neutral
3977,Season 2,I have a wife. I took a vow.,neutral
3978,Season 2,"She's sick. Weak. Shut away in the tower. And she disgusts you. And she's given you nothing. No sons. Only stillborns. Only death. . I will give you a son, my King.",disgust
3979,Season 2,A son?,surprise
3980,Season 2,"Out, all of you.",neutral
3981,Season 2,This bastardo s been meddling where he shouldn't!,anger
3982,Season 2,I want you and your men gone. And you will make this right.,anger
3983,Season 2,Wait outside.,neutral
3984,Season 2,Lord Commander-,neutral
3985,Season 2,Now!,surprise
3986,Season 2,Lord Commander-,neutral
3987,Season 2,Leave us.,neutral
3988,Season 2,What did you do?,surprise
3989,Season 2,"I followed him. He took the baby into the woods, the newborn.",fear
3990,Season 2,What business is that of yours?,neutral
3991,Season 2,"No, you don't understand. He's killing them, all the boys...",anger
3992,Season 2,You know.,neutral
3993,Season 2,Wildlings serve crueler gods than you or I. Those boys are Craster's offerings.,disgust
3994,Season 2,Offerings? He's murdering his own children. He's a monster.,disgust
3995,Season 2,"Aye, many a time that monster has been the difference between life and death for our rangers, your uncle among them. We have other wars to fight, out there. Like it or not, we need men like Craster.",neutral
