Season,Sentence,labels
Season 2,Where are their ships?,neutral
Season 2,It was wise to attack at night. We took them by surprise.,fear
Season 2,Lord Varys knows what you had for breakfast three days ago. There are no surprises here.,neutral
Season 2,"If it's true there is dissension in their ranks, maybe their sailors have mutinied.",neutral
Season 2,Maybe.,neutral
Season 2,I don't know why she wants me here. She's always saying how stupid I am. She hates me.,anger
Season 2,Maybe she hates you less than she hates everyone else.,anger
Season 2,I doubt it.,surprise
Season 2,Maybe she's jealous of you.,neutral
Season 2,Why would she be jealous?,anger
Season 2,Sansa.,neutral
Season 2,"I was wondering where our little dove had flown. You look pale, child. Is your red flower still blooming?",surprise
Season 2,Yes.,neutral
Season 2,"Fitting, isn't it? The men will bleed out there and you will bleed in here. Pour Lady Sansa some wine.",disgust
Season 2,"I'm not thirsty, Your Grace.",neutral
Season 2,So? I didn't offer you water.,anger
Season 2,What's he doing here?,surprise
Season 2,"Ser llyn? He's here to defend us. When the axes smash down those doors, you may be glad to have him.",joy
Season 2,But we have guards to defend us.,neutral
Season 2,"Guards we have paid. Should the city fall, they'll be the first ones out of the doors.",neutral
Season 2,The lads caught a groom and two maids trying to sneak away with a stolen horse and some gold cups.,disgust
Season 2,The battle's first traitors. Have Ser llyn see to them. Put their heads on spikes outside the stables as a warning.,fear
Season 2,The only way to keep the small folk loyal is to make certain they fear you more than they do the enemy. Remember that if you ever hope to become a queen.,fear
Season 2,You said he was here to protect us.,neutral
Season 2,He is. Traitors are a danger to us all. More wine.,fear
Season 2,There they are.,neutral
Season 2,Archers to their marks.,neutral
Season 2,"Archers, to your marks!",anger
Season 2,Archers! Nock your arrows!,anger
Season 2,Nock arrows!,anger
Season 2,Hold fast.,neutral
Season 2,Hold fast!,anger
Season 2,What are you doing? We need to attack them.,anger
Season 2,Boulders ready!,neutral
Season 2,There's only one ship. Where are the rest of them? Where are the rest of them?,neutral
Season 2,There's only one ship.,neutral
Season 2,"Archers, stand to! Man the below! Nock.",anger
Season 2,Nock and set!,anger
Season 2,Draw! Hold.,anger
Season 2,Hold.,neutral
Season 2,There's no one on board.,sadness
Season 2,More rocks coming up!,surprise
Season 2,Wildfire. Steer clear! Steer clear!,neutral
Season 2,Matthos! Get down!,joy
Season 2,Prepare to land.,fear
Season 2,Your Grace.,neutral
Season 2,The dwarf has played his little trick.,neutral
Season 2,The wildfire.,fear
Season 2,He can only play it once.,neutral
Season 2,"We're too far from the gates. The fire, their archers- Hundreds will die.",fear
Season 2,Thousands.,neutral
Season 2,Come with me and take this city!,anger
Season 2,"Sansa, come here, little dove.",neutral
Season 2,My queen.,disgust
Season 2,What are you doing?,surprise
Season 2,Praying.,joy
Season 2,"You're perfect, aren't you? Praying. What are you praying for?",neutral
Season 2,For the gods to have mercy on us all.,disgust
Season 2,Oh. On all of us?,surprise
Season 2,"Yes, Your Grace.",neutral
Season 2,Even me?,surprise
Season 2,"Of course, Your Grace.",neutral
Season 2,Even Joffrey?,surprise
Season 2,Joffrey is my-,neutral
Season 2,"Oh, shut up, you little fool. Praying to the gods to have mercy on us all. The gods have no mercy. That's why they're gods. My father told me that when he caught me praying. My mother had just died, you see. I didn't really understand the concept of death, the finality of it. I thought that if I prayed very, very hard, the gods would return my mother to me. I was four.",anger
Season 2,Your father doesn't believe in the gods?,anger
Season 2,"He believes in them, he just doesn't like them very much.",disgust
Season 2,One for her.,neutral
Season 2,Here. Sit. Drink.,neutral
Season 2,"Not like that. Drink, girl.",disgust
Season 2,I should have been born a man. I'd rather face a thousand swords than be shut up inside with this flock of frightened hens.,fear
Season 2,They are your guests under your protection. You asked them here.,neutral
Season 2,"It was expected of me, as it will be of you if you ever become Joffrey's queen. If my wretched brother should somehow prevail, these hens will return to their cocks and crow of how my courage inspired them, lifted their spirits.",joy
Season 2,And if the city should fall?,neutral
Season 2,"You'd like that, wouldn't you? The Red Keep should hold for a time, long enough for me to go to the walls and yield to Lord Stannis in person. If it were anyone else outside those gates, I might have hoped for a private audience, but this is Stannis Baratheon. I'd have a better chance of seducing his horse.",neutral
Season 2,"Have I shocked you, little dove? Tears aren't a woman's only weapon. The best one's between your legs. Learn how to use it. Drink.",surprise
Season 2,"Do you have any notion of what happens when a city is sacked? No, you wouldn't, would you? If the city falls, these fine women should be in for a bit of a rape. Half of them will have bastards in their bellies come the morning. You'll be glad of your red flower then. When a man's blood is up, anything with tits looks good. A precious thing like you will look very, very good. A slice of cake just waiting to be eaten.",neutral
Season 2,"More pressure! Pull! Pull! That's it, men! Pull! Pull!",surprise
Season 2,"He's a serious man, Stannis Baratheon.",sadness
Season 2,They're coming. They're coming ashore.,neutral
Season 2,Rain fire on them.,anger
Season 2,Archers!,joy
Season 2,There are too many.,neutral
Season 2,"Hound, form a welcome party for any Baratheon troop that manages to touch solid ground. Pod, run to the King's Gate. Bring any men guarding it here, now.",neutral
Season 2,"Yes, my lord.",disgust
Season 2,"Let's go. Stannis is sending us fresh meat. You, too.",neutral
Season 2,"Any of these flaming fucking arrows come near me, I'll strangle you with your own guts.",anger
Season 2,"Pull, pull! Go!",anger
Season 2,Nock! Draw!,anger
Season 2,Draw! Draw!,neutral
Season 2,Kill the Lannisters!,anger
Season 2,Loose! Loose!,anger
Season 2,Form the line!,anger
Season 2,Draw! Draw! Loose! Loose!,neutral
Season 2,"To the Mud Gate, go now!",anger
Season 2,"First and second squads, to the gate! To the Mud Gate!",surprise
Season 2,"Any man dies with a clean sword, I'll rape his fucking corpse.",disgust
Season 2,"When we were young, Jaime and I, we looked so much alike even our father couldn't tell us apart. I could never understand why they treated us differently. Jaime was taught to fight with sword and lance and mace, and I was taught to smile and sing and please. He was heir to Casterly Rock, and I was sold to some stranger like a horse to be ridden whenever he desired.",neutral
Season 2,You were Robert's queen.,neutral
Season 2,And you will be Joffrey's. Enjoy. I don't think I know this one.,joy
Season 2,Pretty.,neutral
Season 2,"That's the worst curtsy I've ever seen. Here, it's not difficult. I mastered it when I was four. Straighten your back and bend.",disgust
Season 2,Better. You learn fast. How long have you been in Lady Sansa's service?,neutral
Season 2,"A few weeks, Your Grace.",neutral
Season 2,When did you leave Lorath?,neutral
Season 2,I had a Lorathi handmaiden once.,joy
Season 2,But she was a nobleman's daughter. You're not. When did you come to Westeros?,neutral
Season 2,"Ten years ago, Your Grace.",neutral
Season 2,"From Lorathi commoner to the Red Keep in ten years, all without learning how to curtsy. I imagine that's a very interesting story. What's your name?",surprise
Season 2,"Shae, Your Grace.",neutral
Season 2,"Tell us a story, Shae.",neutral
Season 2,"When I was thireen, I-",fear
Season 2,Your Grace!,anger
Season 2,What news?,surprise
Season 2,"The Imp has set the river afire. Hundreds of ships are burning, maybe more. Stannis' fleet destroyed, but But But his troops have landed outside the city walls.",anger
Season 2,Where is Joffrey?,neutral
Season 2,On the battlements with Lord Tyrion.,fear
Season 2,Bring him back inside at once.,neutral
Season 2,Your Grace-,neutral
Season 2,What?,surprise
Season 2,The king's presence is good for morale.,joy
Season 2,Bring him back to his chambers now.,anger
Season 2,Not here?,surprise
Season 2,With the women and children? Do you want him to be mocked as a coward for the rest of his life?,anger
Season 2,"No, but I-",neutral
Season 2,Now!,surprise
Season 2,"When I told you about Ser llyn earlier, I lied. Do you want to hear the truth? You want to know why he's really here? He's here for us. Stannis may take the city, he may take the throne, but he will not take us alive.",neutral
Season 2,Help me!,fear
Season 2,Fall back! Fall back!,joy
Season 2,Get the ladders up!,neutral
Season 2,"Faster, you bastards! Faster! Come on, kill the scum!",anger
Season 2,Someone bring me a drink.,disgust
Season 2,Fuck the water. Bring me wine.,anger
Season 2,"Can I get you some iced milk and a nice bowl of raspberries, too?",neutral
Season 2,"Eat shit, dwarf.",anger
Season 2,You're on the wrong side of the wall.,disgust
Season 2,I lost half my men. The Blackwater's on fire.,anger
Season 2,"Dog, I command you to go back out there and fight!",anger
Season 2,"You're Kingsguard, Clegane. You must beat them back or they're going to take this city. Your king's city.",neutral
Season 2,Fuck the Kingsguard. Fuck the city. Fuck the king.,anger
Season 2,Loose!,surprise
Season 2,Put your backs into it!,anger
Season 2,"All right, get up!",anger
Season 2,Clear!,neutral
Season 2,Forward!,neutral
Season 2,Forward ladders!,surprise
Season 2,Heave! Heave!,disgust
Season 2,"Your Grace, the queen has sent me to bring you back to the Red Keep.",neutral
Season 2,"If you won't defend your own city, why should they?",anger
Season 2,What would you have me do?,anger
Season 2,Lead. Get down there and lead your people against the invaders who want to kill them.,anger
Season 2,What did my mother say exactly? Did she have urgent business with me?,neutral
Season 2,"She did not say, Your Grace.",neutral
Season 2,All men to the battlements!,anger
Season 2,"Ser Boros, Ser Mandon, stay with my uncle and represent the king on the field of battle.",neutral
Season 2,"Archers, hold your line or I'll kill you myself.",anger
Season 2,Stand fast!,fear
Season 2,"No! Get up, you fool.",anger
Season 2,We need more arrows!,neutral
Season 2,Where is the king? Why isn't he with us?,surprise
Season 2,Who are we fighting for?,neutral
Season 2,Who leads us?,neutral
Season 2,I'll lead the attack. I'll lead the attack!,anger
Season 2,Yes.,neutral
Season 2,What are you talking about?,surprise
Season 2,"Pod, my helmet. Ser Mandon, you will bear the king's banner. Men, form up. Men Men! They say I'm half a man. But what does that make the lot of you?",neutral
Season 2,The only way out is through the gates. And they're at the gates.,neutral
Season 2,There's another way out. I'm going to show you. We'll come out behind them and fuck them in their arses.,anger
Season 2,"Don't fight for your king and don't fight for his kingdoms. Don't fight for honor. Don't fight for glory. Don't fight for riches, because you won't get any. This is your city Stannis means to sack. That's your gate he's ramming. If he gets in, it will be your houses he burns, your gold he steals, your women he will rape.",anger
Season 2,Heave! Heave! Heave!,disgust
Season 2,Those are brave men knocking at our door. Let's go kill them.,fear
Season 2,"The battle is lost, Your Grace. Stannis' troops are at the gates. When the gold cloaks saw the king leaving, they lost all heart.",sadness
Season 2,Where is my son?,sadness
Season 2,I want to escort him back to the battle.,sadness
Season 2,Why do I care what you want? Bring me-,anger
Season 2,Now listen to me-,anger
Season 2,"Don't be afraid. The queen has raised the drawbridge. This is the safest place we can be. Joffrey's not hurt. He's fighting bravely. His knights have rallied behind him. They will save the city. Shall we sing a hymn? Gentle mother, fount of mercy...",fear
Season 2,"Save our sons from war, we pray.",neutral
Season 2,You must go. Run to your chamber and bar your door. Stannis won't hurt you. This one will.,fear
Season 2,Come with me.,fear
Season 2,I need to say goodbye to someone.,sadness
Season 2,The queen said they'd rape everyone.,disgust
Season 2,No one is raping me.,disgust
Season 2,Go. Run.,neutral
Season 2,The lady is starting to panic.,fear
Season 2,What are you doing here?,surprise
Season 2,Not here for long. I'm going.,sadness
Season 2,Where?,neutral
Season 2,"Someplace that isn't burning. North, might be. Could be.",neutral
Season 2,What about the king?,neutral
Season 2,He can die just fine on his own.,neutral
Season 2,I can take you with me. Take you to Winterfell.,neutral
Season 2,I'll keep you safe. Do you want to go home?,neutral
Season 2,I'll be safe here. Stannis won't hurt me.,neutral
Season 2,Look at me. Stannis is a killer. The Lannisters are killers. Your father was a killer. Your brother is a killer. Your sons will be killers someday. The world is built by killers. So you'd better get used to looking at them.,anger
Season 2,You won't hurt me.,anger
Season 2,"No, little bird, I won't hurt you.",neutral
Season 2,Heave!,disgust
Season 2,"Come on, you bastards! Get up those ladders!",anger
Season 2,Attack!,anger
Season 2,Roll it over!,anger
Season 2,Halfman! Halfman! Halfman!,surprise
Season 2,"Oh, fuck me.",anger
Season 2,"Shh! Be calm, my sweet.",neutral
Season 2,They're still fighting.,neutral
Season 2,No one's going to hurt you. I'll tell you a story. You know the one about the mother lion and her little cub? They lived in the woods.,neutral
Season 2,The Kingswood?,surprise
Season 2,"Yes, my love. In the Kingswood, there lived a mother and her cub. She loved him very much. But there were other things that lived in the woods. Evil things.",disgust
Season 2,Like what?,neutral
Season 2,Like stags.,sadness
Season 2,Stags aren't evil. They only eat grass.,disgust
Season 2,And wolves.,neutral
Season 2,My lord.,disgust
Season 2,"He could hear them howling in the night. The little cub was frightened. His mother said, ""You are a lion, my son. You mustn't be afraid.""",fear
Season 2,"For one day, all the beasts will bow to you. You will be king. All the stags will bow. All the wolves will bow. The bears in the north and the foxes of the south, all the birds in the sky and the beasts in the sea, they will all come to you, little lion, to rest a crown upon your head.",neutral
Season 2,"And the cub said, ""Will I be strong and fierce like my father?""",neutral
Season 2,"Yes,"" said his mother. ""You will be strong and fierce just like your father.",neutral
Season 2,"I will keep you safe, my love. I promise you.",joy
Season 2,Back to the boats!,anger
Season 2,"Stand and fight! Stand and fight, damn you!",anger
Season 2,No!,anger
Season 2,Father.,sadness
Season 2,The battle is over. We have won.,neutral
Season 2,"And who are you,"" the proud lord said / ""That I must bow so low?"" / ""Only a cat of a different coat / That's all the truth I know / In a coat of gold or a coat of red / A lion still has claws / And mine are long and sharp, my lord / As long and sharp as yours"" / And so he spoke, and so he spoke / That Lord of Castamere / But now the rains weep o'er his hall / With no one there to hear / Yes, now the rains weep o'er his hall / And not a soul to hear",sadness
Season 2,Pod.,neutral
Season 2,Pod! Find Bronn or Varys. Tell them I am here with Maester Pycelle. Tell them I am very much alive.,neutral
Season 2,"Yes, my lord.",disgust
Season 2,Would you like something for the pain?,neutral
Season 2,What happened?,surprise
Season 2,The murderer and traitor Stannis Baratheon suffered a stunning defeat at the hands of your father.,fear
Season 2,Where am I?,neutral
Season 2,"These are your new chambers. A little cramped, perhaps, but you don't need much room, do you? You are no longer Hand of the King.",neutral
Season 2,"Oh, For your trouble.",sadness
Season 2,"I, Joffrey of the House Baratheon, first of my name, the rightful King of the Andals and the First Men, Lord of the Seven Kingdoms and Protector of the Realm, do hereby proclaim my grandfather, Tywin Lannister, the savior of the city and the Hand of the King.",joy
Season 2,"Thank you, Your Grace.",neutral
Season 2,"Lord Petyr Baelish, step forward.",neutral
Season 2,"For your good service and ingenuity in uniting the Houses of Lannister and Tyrell, I declare that you shall be granted the castle of Harrenhal with all its attendant lands and incomes to be held by your sons and grandsons from this day until the end of time.",joy
Season 2,"You honor me beyond words, Your Grace. I shall have to acquire some sons and grandsons.",neutral
Season 2,Ser Loras Tyrell.,neutral
Season 2,"Your house has come to our aid. The whole realm is in your debt, none more so than I. If your family would ask anything of me, ask it, and it shall be yours.",neutral
Season 2,"Your Grace, my sister Margaery, her husband was taken from us before... She remains innocent. I would ask you to find it in your heart to do us the great honor of joining our houses.",neutral
Season 2,"Is this what you want, Lady Margaery?",neutral
Season 2,"With all my heart, Your Grace. I have come to love you from afar. Tales of your courage and wisdom have never been far from my ears. And those tales have taken root deep inside of me.",joy
Season 2,"I, too, have heard tales of your beauty and grace, but the tales do not do you justice, my lady. It would be an honor to return your love, but I am promised to another. A king must keep his word.",neutral
Season 2,"Your Grace, in the judgment of your Small Council, it would be neither proper nor wise for you to wed the daughter of a man beheaded for treason, a girl whose brother is in open rebellion against the throne as we speak. For the good of the realm, your councilors beg you to set Sansa Stark aside.",anger
Season 2,Margaery! We want Margaery!,surprise
Season 2,"I would like to heed your wishes and the wishes of my people, but I took a holy vow.",sadness
Season 2,"Your Grace, the gods do indeed hold betrothal solemn, but your father, blessed be his memory, made this pact before the Starks revealed their falseness. I have consulted with the High Septon and he assures me that their crimes against the realm free you from any promise you have made to them in the sight of the gods.",neutral
Season 2,"The gods are good. I am free to heed my heart. Ser Loras, I will gladly wed your sweet sister. You will be my queen and I will love you from this day until my last day.",joy
Season 2,My lady. My sincerest condolences.,sadness
Season 2,They're right. I'm not good enough for him.,sadness
Season 2,"You shouldn't say that. You'll be good enough for many things. He'll still enjoy beating you. And now that you're a woman, he'll be able to enjoy you in other ways as well.",joy
Season 2,"But, if he's not marrying me-",anger
Season 2,"He'll let you go home? Joffrey's not the sort of boy who gives away his toys. You have a tender heart, just like your mother did at your age. I can see so much of her in you. She was like a sister to me. For her sake, I'll help get you home.",neutral
Season 2,King's Landing is my home now.,neutral
Season 2,Look around you. We're all liars here. And every one of us is better than you.,anger
Season 2,Come in. Make yourself comfortable.,neutral
Season 2,"That doesn't look very comfortable. Here, watch me.",disgust
Season 2,"No need for that, my dear.",neutral
Season 2,You sure? Most men like what they see.,neutral
Season 2,I'm not like most men.,neutral
Season 2,That's what most men say.,neutral
Season 2,"If you don't want what most men want, then you'd better tell me what you'd like me to do.",neutral
Season 2,I would like you to tell me if working for Lord Baelish has been all you'd hoped it would be.,neutral
Season 2,Have we met?,neutral
Season 2,You wouldn't remember me if we had?,surprise
Season 2,I meet a lot of men.,joy
Season 2,And I think you remember all of them. I think your true talents are wasted on them.,neutral
Season 2,"You're very kind, my lord. Allow me to return the favor.",neutral
Season 2,You're afraid. Why? Nothing dangerous down there.,fear
Season 2,I know who you are.,neutral
Season 2,"And, unlike your current employer, I protect those who work for me. I don't abuse them to satisfy royal whims or force them to abuse each other.",neutral
Season 2,How do you know about that?,surprise
Season 2,I thought you said you knew who I was.,surprise
Season 2,"What can I do for you, Lord Varys?",fear
Season 2,Littlefinger looks at you and sees a collection of profitable holes. I see a potential partner.,neutral
Season 2,I'm afraid of him.,fear
Season 2,"Oh, you should be. He's a dangerous man. But everyone has their weaknesses. Your current employer hides his very well, but not as well as he thinks.",anger
Season 2,"You're a virgin, I take it?",neutral
Season 2,Walk.,neutral
Season 2,"Childhood must have been awful for you. Were you a foot taller than all the boys? They laughed at you, called you names? Some boys like a challenge. One or two must have tried to get inside Big Brienne.",disgust
Season 2,One or two tried.,neutral
Season 2,"Ah. But you fought them off. But maybe you wished one of them could overpower you, fling you down, tear off your clothes. But none of them were strong enough. I'm strong enough.",neutral
Season 2,Not interested.,sadness
Season 2,Of course you are. You'd love to know what it feels like to be a woman.,neutral
Season 2,"Ah. ""They lay with lions."" Tavern girls, I'd say. Probably served my father's soldiers. Maybe one of them gave up a kiss and a feel. That's how they earned this. The glorious work of the Northern freedom fighters. Must make you proud to serve the Starks.",neutral
Season 2,I don't serve the Starks. I serve Lady Catelyn.,neutral
Season 2,Tell yourself that tonight when they swing in your dreams.,neutral
Season 2,What are you doing?,surprise
Season 2,Burying them.,disgust
Season 2,We shouldn't stay here. We should get back on the river.,neutral
Season 2,I think these women would understand if I don't care what you think.,neutral
Season 2,I didn't leave it here.,neutral
Season 2,I had me dagger.,anger
Season 2,Untie me. Now!,anger
Season 2,"I gave it to you to cut the rope, and now I don't have me dagger no more.",anger
Season 2,"So unless it got stuck in your arse on its way to your cunt, it stands to reason that it's gone. Whoa. What's your business here?",disgust
Season 2,Traveling a prisoner.,disgust
Season 2,You're a woman. A woman!,anger
Season 2,"Well, fuck me!",anger
Season 2,If you've quite finished up-,neutral
Season 2,"All right, we'll be going.",neutral
Season 2,Whoa. Whoa! Who do you fight for?,surprise
Season 2,The Starks.,neutral
Season 2,What did he do?,surprise
Season 2,Apparently eating is now a crime. Who knew?,disgust
Season 2,"No, stealing is a crime.",disgust
Season 2,But it's not a crime to starve. That's justice for you.,neutral
Season 2,Where are you taking him?,neutral
Season 2,To Riverrun.,neutral
Season 2,Why Riverrun?,surprise
Season 2,"Steal from the Tullys, it's their dungeons you rot in.",disgust
Season 2,Why not kill him?,anger
Season 2,For stealing a pig?,disgust
Season 2,I don't give the orders. He must be important to someone.,neutral
Season 2,Sending him with you? How important could he be?,neutral
Season 2,"All right, have it your way, my lady.",anger
Season 2,Do I know you?,surprise
Season 2,Have you been to Ashemark?,neutral
Season 2,No.,neutral
Season 2,Then you don't know me.,anger
Season 2,Do you ever go to the river market at Salt Rock?,neutral
Season 2,Is it near Ashemark?,neutral
Season 2,I've never been there.,neutral
Season 2,What do you think of these beauties?,neutral
Season 2,I hope you gave them quick deaths.,neutral
Season 2,"Two of them we did, yeah.",neutral
Season 2,Wait. I do know you. That's Jaime Lannister.,neutral
Season 2,I wish someone had told me. I wouldn't have had to steal that pig.,surprise
Season 2,"If this is the Kingslayer, I think I'd know about it.",neutral
Season 2,How do you know what the Kingslayer looks like?,neutral
Season 2,I was at Whispering Wood. I saw him. They dragged him out of the woods and threw him down before the king.,fear
Season 2,"He's not the Kingslayer. Sorry to disappoint you. If he was, I'd only be traveling his head.",sadness
Season 2,"I have a question for you both. And I want you to answer it at the same time. I count to three, you both answer. What's his name? One. Two. Three.",neutral
Season 2,Two quick deaths.,neutral
Season 2,Those were Stark men.,neutral
Season 2,"I don't serve the Starks. I serve Lady Catelyn. I told you I'd take you to King's Landing, and that's what I'm going to do. Stay.",neutral
Season 2,Walder Frey is a dangerous man to cross.,fear
Season 2,I know that.,neutral
Season 2,And you mean to do it anyway?,anger
Season 2,I love her.,joy
Season 2,I know that seems important to you.,neutral
Season 2,It is important to me.,joy
Season 2,"Your father didn't love me when we married. He hardly knew me or I him. Love didn't just happen to us. We built it slowly over the years, stone by stone, for you, for your brothers and sisters, for all of us. It's not as exciting as secret passion in the woods, but it is stronger. It lasts longer.",neutral
Season 2,"And that is what would be in store for me with one of Walder Frey's daughters, what you and father had?",neutral
Season 2,Why not? Because she's not beautiful? Because she's not exotic and exciting?,neutral
Season 2,Now you're arguing just to argue because you arranged it.,anger
Season 2,"And you agreed to it. You gave him your word. Treat your oaths recklessly, and your people will do the same. If your father lived his life for one thing",anger
Season 2,My father is dead. And the only parent I have left has no right to call anyone reckless.,sadness
Season 2,You said you saw my victory in the flames.,neutral
Season 2,l I did. I still see it.,neutral
Season 2,"The flames lied. And I'm no better than a savage trusting in a fire god. I fought for your god in Blackwater Bay. I led my men to the gates of the seventh hell as their brothers burned alive, and for what? Attacked from behind by Tywin Lannister and the Tyrells. If you see so much in your flames, why didn't you warn me?",anger
Season 2,The Lord of Light only allows me glimpses.,neutral
Season 2,You claimed to speak for a god.,neutral
Season 2,Will you quit the war just because you've lost a battle?,anger
Season 2,You talk about war as if you understand it.,neutral
Season 2,I've been fighting far longer than you.,neutral
Season 2,Have you? Show me how you fight.,neutral
Season 2,Show me.,neutral
Season 2,Where's your god now? Will he save you? Where is your god?,surprise
Season 2,Inside you.,disgust
Season 2,I murdered my brother.,anger
Season 2,We murdered him. Share the weight with me.,anger
Season 2,He wasn't your brother.,neutral
Season 2,This war has just begun. It will last for years. Thousands will die at your command. You will betray the men serving you. You will betray your family. You will betray everything you once held dear. And it will all be worth it because you are the Son of Fire. You are the Warrior of Light. You will sweep aside this pretender and that one. You will be king.,anger
Season 2,"You promise these things, but you don't know. None of us know.",neutral
Season 2,Let me show you.,neutral
Season 2,"Look into the fire, my king. Look.",anger
Season 2,I see fire.,fear
Season 2,"Keep looking. Do you see? Do you see, my king?",anger
Season 2,Yes.,neutral
Season 2,"I will kill that man. I don't care how many arrows they feather me with, how many spears they run through me, I will kill that horn-blowing cunt before I fall.",anger
Season 2,They want you to know you're surrounded.,neutral
Season 2,I know I'm surrounded. I know that because I stood on the battlements and saw I was surrounded.,fear
Season 2,They don't want you to sleep. They want to sap your spirit before,anger
Season 2,"Thank you, wise bald man. Thank you for explaining siege tactics to me.",joy
Season 2,No word from my father?,surprise
Season 2,No.,neutral
Season 2,Send more ravens.,neutral
Season 2,You killed all the ravens.,anger
Season 2,The first time I saw Winterfell-,fear
Season 2,"First time I saw Winterfell, it looked like something that had been here for thousands of years and would be here for thousands of years after I was dead. I saw it and I thought, ""Of course, Ned Stark crushed our rebellion and killed my brothers. ""We never stood a chance against the man who lives here.""",disgust
Season 2,Lord Stark went out of his way to make it your home.,neutral
Season 2,"Yes, my captors were so very kind to me. You love reminding me of that. Everyone in this frozen pile of shit has always loved reminding me of that. You know what it's like to be told how lucky you are to be someone's prisoner? To be told how much you owe them? And then to go back home to your real father",neutral
Season 2,"I will kill that man. I swear to the Drowned God, the Old Gods, the New Gods, to every fucking god in every fucking heaven, I will kill that man.",anger
Season 2,"Theon, listen to me. I serve Winterfell. Now Winterfell is yours. I'm bound by oath to serve you.",anger
Season 2,"And what's your counsel, trusted friend?",neutral
Season 2,Run. Five hundred Northmen wait outside the walls. You have twenty men. You can't win. Wait for nightfall and run.,neutral
Season 2,"There's nowhere to run. I'd never make it back to the Iron Islands. And even if I did, even if by some miracle I slipped through the lines and made it home, I'd be a coward. The Greyjoy who ran. The shame of the family.",disgust
Season 2,Don't go home. Join the Night's Watch.,neutral
Season 2,"Once a man has taken the black, he's beyond reach of the law. All his past crimes are forgiven.",neutral
Season 2,I won't make it to the Wall. I won't make it ten feet past the Winterfell gates.,fear
Season 2,There are ways. Hidden passageways built so the Lords of Winterfell could escape. The road will be dangerous. But with a little luck...,neutral
Season 2,"The Night's Watch is an ancient, honorable order. You'll have opportunities there.",neutral
Season 2,The opportunity for Jon Snow to cut my throat in my sleep.,anger
Season 2,The opportunity to make amends for what you've done.,neutral
Season 2,"I've done a lot, haven't I? Things I never imagined myself doing.",surprise
Season 2,"I've known you many years, Theon Greyjoy. You're not the man you're pretending to be. Not yet.",neutral
Season 2,You may be right. But I've gone too far to pretend to be anything else.,neutral
Season 2,"You hear that? That's the mating call of the Northmen. They want to fuck us. Well, I haven't had a good fuck in weeks. I'm ready for one.",disgust
Season 2,They say every Ironborn man is worth a dozen from the mainland.,neutral
Season 2,Aye!,disgust
Season 2,You think they're right?,surprise
Season 2,Aye.,neutral
Season 2,"We die today, brothers. We die bleeding from a hundred wounds with arrows in our necks and spears in our guts, but our war cries will echo through eternity. They will sing about the battle of Winterfell until the Iron Islands have slipped beneath the waves. Every man, woman and child will know who we were and how long we stood. Aggar and Gelmarr, Wex and Urzen, Stygg and Black Lorren. Ironborn warriors will cry out our names as they leap onto the shores of Seagard and Faircastle.",sadness
Season 2,Mothers will name their sons for us.,neutral
Season 2,Girls will think of us with their lovers inside them.,neutral
Season 2,And whoever kills that fucking horn-blower will stand in bronze above the shores of Pyke!,anger
Season 2,What is dead may never die!,anger
Season 2,What is dead may never die!,anger
Season 2,Thought he'd never shut up.,surprise
Season 2,It was a good speech. Didn't want to interrupt.,joy
Season 2,What is this? What are you doing?,surprise
Season 2,Let's go home.,neutral
Season 2,Come on.,anger
Season 2,Why should I believe you?,surprise
Season 2,Why would I lie about it?,anger
Season 2,To create strife between my sister and me.,anger
Season 2,"Where before there was nothing but love. Ser Mandon Moore tried to kill you on your sister's orders. If it weren't for your squire's bravery, you'd be a dead man.",anger
Season 2,"Yes, my lord?",surprise
Season 2,Would it be excessive of me to ask you to save my life twice in a week?,anger
Season 2,"No, my lord.",disgust
Season 2,"You're a good lad. Get Bronn, tell him I want four of his most loyal gold cloaks outside my door at all times.",neutral
Season 2,I'm afraid your friend has been relieved of his command of the City Watch. The gold cloaks are now firmly in the hands of your father or your sister. It varies from cloak to cloak.,fear
Season 2,Then my hill tribesmen.,neutral
Season 2,"Have gone home. Your father paid them quite handsomely. I'm afraid we won't be seeing each other for some time, my lord.",fear
Season 2,Don't want to swim too close to a drowning man? And I thought we were friends.,surprise
Season 2,"We are. Podrick, would you mind?",neutral
Season 2,"There are many who know that without you this city faced certain defeat. The king won't give you any honors, the histories won't mention you, but we will not forget.",sadness
Season 2,"Come along now, Podrick.",neutral
Season 2,My love.,joy
Season 2,It was good of you to come.,joy
Season 2,Good of me? Of course I come.,joy
Season 2,I want to see you.,joy
Season 2,"Believe me, you don't.",surprise
Season 2,Have you looked?,neutral
Season 2,I will be the first.,neutral
Season 2,Well?,surprise
Season 2,You are a mess.,disgust
Season 2,I'm a monster as well as a dwarf. You should charge me double.,anger
Season 2,You think I'm here for money?,surprise
Season 2,That was the arrangement we made. I pay you and you lie to me.,anger
Season 2,"Oh. I'm a poor little rich man and nobody loves me, so I make jokes all the time and pay them to laugh. Fuck your money. Let's leave.",anger
Season 2,Leave?,neutral
Season 2,"Leave King's Landing. They tried to kill you. They will try again. Going into wars, fighting soldiers, you're terrible at this. Let's take a boat to Pentos and never come back. You don't belong here.",fear
Season 2,What would we do in Pentos?,neutral
Season 2,"Eat, drink, fuck, live.",anger
Season 2,I want to go with you.,joy
